Country_code,Country,WHO_region,year_month,ChangeRate
AM,Armenia,EURO,2020-04,211.7924528301887
AM,Armenia,EURO,2020-05,470.0453857791225
AM,Armenia,EURO,2020-06,103.86146496815287
AM,Armenia,EURO,2020-07,-17.51611013473931
AM,Armenia,EURO,2020-08,-49.23453282828283
AM,Armenia,EURO,2020-09,-12.17161510959117
AM,Armenia,EURO,2020-10,403.3097345132743
AM,Armenia,EURO,2020-11,100.20044308471358
AM,Armenia,EURO,2020-12,-59.484287997751665
AM,Armenia,EURO,2021-01,-60.14913725830227
AM,Armenia,EURO,2021-02,-45.25674499564839
AM,Armenia,EURO,2021-03,262.8577106518283
AM,Armenia,EURO,2021-04,25.806451612903224
AM,Armenia,EURO,2021-05,-59.30521091811415
AM,Armenia,EURO,2021-06,-76.88275566966196
AM,Armenia,EURO,2021-07,85.14576584914391
AM,Armenia,EURO,2021-08,213.37165708572857
AM,Armenia,EURO,2021-09,37.254745573456695
AM,Armenia,EURO,2021-10,189.27305479690855
AM,Armenia,EURO,2021-11,-40.52951929450995
AM,Armenia,EURO,2021-12,-77.87535889207903
AM,Armenia,EURO,2022-01,235.14503816793896
AM,Armenia,EURO,2022-02,142.62026239067055
AM,Armenia,EURO,2022-03,-94.80848666917012
AM,Armenia,EURO,2022-04,-86.72694394213381
AM,Armenia,EURO,2022-05,-63.21525885558583
AM,Armenia,EURO,2022-06,6.666666666666667
AM,Armenia,EURO,2022-07,1470.138888888889
AM,Armenia,EURO,2022-08,205.57275541795667
AM,Armenia,EURO,2022-09,25.647705890866984
AM,Armenia,EURO,2022-10,-57.885036286142146
AM,Armenia,EURO,2022-11,-82.19365426695843
AM,Armenia,EURO,2022-12,-50.69124423963134
AM,Armenia,EURO,2023-01,-17.445482866043612
AM,Armenia,EURO,2023-02,132.0754716981132
AM,Armenia,EURO,2023-03,174.47154471544715
AM,Armenia,EURO,2023-04,-46.03080568720379
AM,Armenia,EURO,2023-05,-84.5225027442371
AM,Armenia,EURO,2023-06,-78.72340425531915
AM,Armenia,EURO,2023-07,63.33333333333333
AM,Armenia,EURO,2023-08,53.06122448979592
AM,Armenia,EURO,2023-09,290.6666666666667
AM,Armenia,EURO,2023-10,269.28327645051195
AM,Armenia,EURO,2023-11,-56.37707948243993
AM,Armenia,EURO,2023-12,-52.96610169491526
AM,Armenia,EURO,2024-01,7.657657657657657
AM,Armenia,EURO,2024-02,-21.75732217573222
AM,Armenia,EURO,2024-03,-22.994652406417114
AM,Armenia,EURO,2024-04,-15.27777777777778
AM,Armenia,EURO,2024-05,3.278688524590164
AM,Armenia,EURO,2024-06,106.34920634920636
AM,Armenia,EURO,2024-07,18.076923076923077
AM,Armenia,EURO,2024-08,25.0814332247557
AM,Armenia,EURO,2024-09,27.604166666666668
AM,Armenia,EURO,2024-10,-62.44897959183674
AM,Armenia,EURO,2024-11,-48.369565217391305
AM,Armenia,EURO,2024-12,-4.2105263157894735
AM,Armenia,EURO,2025-01,-16.483516483516482
AM,Armenia,EURO,2025-02,38.15789473684211
AM,Armenia,EURO,2025-03,-70.47619047619048
AM,Armenia,EURO,2025-04,-100
AM,Armenia,EURO,2025-05,NA
AO,Angola,AFRO,2020-01,NA
AO,Angola,AFRO,2020-02,NA
AO,Angola,AFRO,2020-03,NA
AO,Angola,AFRO,2020-04,Inf
AO,Angola,AFRO,2020-05,136
AO,Angola,AFRO,2020-06,196.61016949152545
AO,Angola,AFRO,2020-07,275.42857142857144
AO,Angola,AFRO,2020-08,148.8584474885845
AO,Angola,AFRO,2020-09,29.724770642201836
AO,Angola,AFRO,2020-10,105.28052805280528
AO,Angola,AFRO,2020-11,39.20532843362425
AO,Angola,AFRO,2020-12,-65.97921135126217
AO,Angola,AFRO,2021-01,27.69156159068865
AO,Angola,AFRO,2021-02,-62.02050892518041
AO,Angola,AFRO,2021-03,24.9
AO,Angola,AFRO,2021-04,177.10168134507606
AO,Angola,AFRO,2021-05,151.02571511123952
AO,Angola,AFRO,2021-06,-49.95395948434622
AO,Angola,AFRO,2021-07,-26.21895124195032
AO,Angola,AFRO,2021-08,66.55236907730672
AO,Angola,AFRO,2021-09,44.41325098259405
AO,Angola,AFRO,2021-10,24.14463452566096
AO,Angola,AFRO,2021-11,-92.01378014406514
AO,Angola,AFRO,2021-12,684.7058823529411
AO,Angola,AFRO,2022-01,348.3591537564551
AO,Angola,AFRO,2022-02,-97.6072821846554
AO,Angola,AFRO,2022-03,-37.11180124223603
AO,Angola,AFRO,2022-04,-47.65432098765432
AO,Angola,AFRO,2022-05,108.96226415094338
AO,Angola,AFRO,2022-06,237.69751693002257
AO,Angola,AFRO,2022-07,-18.58288770053476
AO,Angola,AFRO,2022-08,-55.09031198686372
AO,Angola,AFRO,2022-09,-80.07312614259597
AO,Angola,AFRO,2022-10,328.440366972477
AO,Angola,AFRO,2022-11,127.19486081370452
AO,Angola,AFRO,2022-12,-61.26295947219605
AO,Angola,AFRO,2023-01,-72.26277372262774
AO,Angola,AFRO,2023-02,-37.719298245614034
AO,Angola,AFRO,2023-03,-14.084507042253522
AO,Angola,AFRO,2023-04,11.475409836065571
AO,Angola,AFRO,2023-05,539.7058823529412
AO,Angola,AFRO,2023-06,-80.45977011494253
AO,Angola,AFRO,2023-07,-68.23529411764706
AO,Angola,AFRO,2023-08,-77.77777777777779
AO,Angola,AFRO,2023-09,316.66666666666663
AO,Angola,AFRO,2023-10,-44
AO,Angola,AFRO,2023-11,957.1428571428572
AO,Angola,AFRO,2023-12,443.2432432432432
AO,Angola,AFRO,2024-01,-54.72636815920397
AO,Angola,AFRO,2024-02,-90.65934065934066
AO,Angola,AFRO,2024-03,-8.823529411764707
AO,Angola,AFRO,2024-04,19.35483870967742
AO,Angola,AFRO,2024-05,62.16216216216216
AO,Angola,AFRO,2024-06,-70
AO,Angola,AFRO,2024-07,-50
AO,Angola,AFRO,2024-08,-100
AO,Angola,AFRO,2024-09,Inf
AO,Angola,AFRO,2024-10,-100
AO,Angola,AFRO,2024-11,Inf
AO,Angola,AFRO,2024-12,-100
AO,Angola,AFRO,2025-01,NA
AO,Angola,AFRO,2025-02,NA
AO,Angola,AFRO,2025-03,NA
AO,Angola,AFRO,2025-04,NA
AO,Angola,AFRO,2025-05,NA
AR,Argentina,AMRO,2020-01,NA
AR,Argentina,AMRO,2020-02,NA
AR,Argentina,AMRO,2020-03,Inf
AR,Argentina,AMRO,2020-04,226.2090483619345
AR,Argentina,AMRO,2020-05,305.117168818747
AR,Argentina,AMRO,2020-06,201.25723055129265
AR,Argentina,AMRO,2020-07,127.24779090499425
AR,Argentina,AMRO,2020-08,126.27494934689832
AR,Argentina,AMRO,2020-09,17.17502714854541
AR,Argentina,AMRO,2020-10,22.541948491155047
AR,Argentina,AMRO,2020-11,-13.682693762090642
AR,Argentina,AMRO,2020-12,-48.23121074523716
AR,Argentina,AMRO,2021-01,115.949594104268
AR,Argentina,AMRO,2021-02,-47.915818767805874
AR,Argentina,AMRO,2021-03,14.631918522077497
AR,Argentina,AMRO,2021-04,166.04594821153864
AR,Argentina,AMRO,2021-05,54.97686207093554
AR,Argentina,AMRO,2021-06,-29.762104242489233
AR,Argentina,AMRO,2021-07,-31.963699807715855
AR,Argentina,AMRO,2021-08,-26.250692524013346
AR,Argentina,AMRO,2021-09,-76.66813529559062
AR,Argentina,AMRO,2021-10,-44.683394693583665
AR,Argentina,AMRO,2021-11,-1.37285721302618
AR,Argentina,AMRO,2021-12,299.7385393062576
AR,Argentina,AMRO,2022-01,1669.4439080302243
